Id;Nome;R;Squadra;Qt.A;Stato
4312;Maignan;P;Milan;20;DISPONIBILE
5841;Svilar;P;Roma;20;DISPONIBILE
2814;Provedel;P;Lazio;17;DISPONIBILE
2170;Milinkovic-Savic V.;P;Napoli;16;DISPONIBILE
4431;Carnesecchi;P;Atalanta;15;DISPONIBILE
6966;Butez;P;Como;15;DISPONIBILE
5876;Di Gregorio;P;Juventus;15;DISPONIBILE
2134;Falcone;P;Lecce;15;DISPONIBILE
133;Skorupski;P;Bologna;13;DISPONIBILE
4360;Caprile;P;Cagliari;13;DISPONIBILE
761;Audero;P;Cremonese;13;DISPONIBILE
4957;Montipò;P;Verona;13;DISPONIBILE
2428;Sommer;P;Inter;12;DISPONIBILE
2861;Semper;P;Pisa;12;DISPONIBILE
4236;Muric;P;Sassuolo;12;DISPONIBILE
6641;Suzuki;P;Parma;11;DISPONIBILE
2521;De Gea;P;Fiorentina;10;DISPONIBILE
188;Leali;P;Genoa;10;DISPONIBILE
6462;Okoye;P;Udinese;10;DISPONIBILE
2722;Ravaglia F.;P;Bologna;9;DISPONIBILE
572;Meret;P;Napoli;8;DISPONIBILE
5320;Paleari;P;Torino;8;DISPONIBILE
6662;Corvi;P;Parma;6;DISPONIBILE
5135;Guaita;P;Parma;4;DISPONIBILE
218;Perin;P;Juventus;3;DISPONIBILE
7179;Israel;P;Torino;3;DISPONIBILE
6842;Sava;P;Udinese;3;DISPONIBILE
2211;Silvestri;P;Cremonese;3;DISPONIBILE
7172;Pessina Mas.;P;Bologna;2;DISPONIBILE
5116;Martinez Jo.;P;Inter;2;DISPONIBILE
574;Scuffet;P;Pisa;2;DISPONIBILE
2297;Rossi F.;P;Atalanta;1;DISPONIBILE
4;Sportiello;P;Atalanta;1;DISPONIBILE
4929;Ciocci;P;Cagliari;1;DISPONIBILE
3;Radunovic;P;Cagliari;1;DISPONIBILE
2809;Vigorito;P;Como;1;DISPONIBILE
6505;Nava;P;Cremonese;1;DISPONIBILE
6184;Martinelli T.;P;Fiorentina;1;DISPONIBILE
6991;Siegrist;P;Genoa;1;DISPONIBILE
219;Sommariva;P;Genoa;1;DISPONIBILE
1926;Di Gennaro;P;Inter;1;DISPONIBILE
1930;Pinsoglio;P;Juventus;1;DISPONIBILE
6417;Furlanetto;P;Lazio;1;DISPONIBILE
6482;Mandas;P;Lazio;1;DISPONIBILE
2401;Fruchtl;P;Lecce;1;DISPONIBILE
6523;Samooja;P;Lecce;1;DISPONIBILE
2815;Terracciano;P;Milan;1;DISPONIBILE
6813;Torriani;P;Milan;1;DISPONIBILE
2845;Contini;P;Napoli;1;DISPONIBILE
5338;Rinaldi;P;Parma;1;DISPONIBILE
2271;Nicolas;P;Pisa;1;DISPONIBILE
7169;Zelezny;P;Roma;1;DISPONIBILE
610;Gollini;P;Roma;1;DISPONIBILE
2127;Satalino;P;Sassuolo;1;DISPONIBILE
4867;Turati;P;Sassuolo;1;DISPONIBILE
6210;Popa;P;Torino;1;DISPONIBILE
543;Padelli;P;Udinese;1;DISPONIBILE
511;Perilli;P;Verona;1;DISPONIBILE
6125;Vasquez D.;P;Roma;1;DISPONIBILE
7185;Nunziante;P;Udinese;1;DISPONIBILE
158;Lezzerini;P;Fiorentina;1;DISPONIBILE
7236;Toniolo;P;Verona;1;DISPONIBILE
7261;Cavlina;P;Como;1;DISPONIBILE
7285;Ferrante;P;Napoli;1;DISPONIBILE
7042;Calligaris;P;Inter;1;DISPONIBILE
254;Dimarco;D;Inter;26;DISPONIBILE
2120;Bastoni;D;Inter;20;DISPONIBILE
5022;Pavlovic;D;Milan;17;DISPONIBILE
6832;Palestra;D;Cagliari;16;DISPONIBILE
5835;Baschirotto;D;Cremonese;15;DISPONIBILE
1852;Spinazzola;D;Napoli;15;DISPONIBILE
7181;Wesley;D;Roma;15;DISPONIBILE
5678;Holm;D;Bologna;14;DISPONIBILE
2593;Martin;D;Genoa;13;DISPONIBILE
5812;Terracciano F.;D;Cremonese;13;DISPONIBILE
4657;Celik;D;Roma;13;DISPONIBILE
6642;Coco;D;Torino;13;DISPONIBILE
4263;Kabasele;D;Udinese;13;DISPONIBILE
7220;Belghali;D;Verona;13;DISPONIBILE
6893;Kempf;D;Como;12;DISPONIBILE
5877;Carlos Augusto;D;Inter;12;DISPONIBILE
5513;Dumfries;D;Inter;12;DISPONIBILE
2724;Buongiorno;D;Napoli;12;DISPONIBILE
4807;Hermoso;D;Roma;12;DISPONIBILE
4734;Miranda J.;D;Bologna;11;DISPONIBILE
4994;Vojvoda;D;Como;11;DISPONIBILE
2788;Bremer;D;Juventus;11;DISPONIBILE
4976;Kalulu;D;Juventus;11;DISPONIBILE
6989;Tiago Gabriel;D;Lecce;11;DISPONIBILE
6496;Bartesaghi;D;Milan;11;DISPONIBILE
4665;Maripan;D;Torino;11;DISPONIBILE
5750;Ostigard;D;Genoa;11;DISPONIBILE
5578;Kossounou;D;Atalanta;10;DISPONIBILE
4887;Bellanova;D;Atalanta;10;DISPONIBILE
6066;Posch;D;Como;10;DISPONIBILE
393;Luperto;D;Cagliari;10;DISPONIBILE
4210;Mina;D;Cagliari;10;DISPONIBILE
5514;Vasquez;D;Genoa;10;DISPONIBILE
5520;Cambiaso;D;Juventus;10;DISPONIBILE
2296;Mancini;D;Roma;10;DISPONIBILE
6956;Solet;D;Udinese;10;DISPONIBILE
697;Cuadrado;D;Pisa;10;DISPONIBILE
7212;Heggem;D;Bologna;10;DISPONIBILE
4159;Akanji;D;Inter;10;DISPONIBILE
6867;Valle;D;Como;9;DISPONIBILE
6013;Barbieri;D;Cremonese;9;DISPONIBILE
2160;Gosens;D;Fiorentina;9;DISPONIBILE
